@RELATION images

@ATTRIBUTE left_quad_std NUMERIC
@ATTRIBUTE left_quad_mean NUMERIC
@ATTRIBUTE right_quad_std NUMERIC
@ATTRIBUTE right_quad_mean NUMERIC
@ATTRIBUTE low_left_quad_std NUMERIC
@ATTRIBUTE low_left_quad_mean NUMERIC
@ATTRIBUTE low_right_quad_std NUMERIC
@ATTRIBUTE low_right_quad_mean NUMERIC
@ATTRIBUTE cent_vert_strip_std NUMERIC
@ATTRIBUTE cent_vert_strip_mean NUMERIC
@ATTRIBUTE cent_hor_strip_std NUMERIC
@ATTRIBUTE cent_hor_strip_mean NUMERIC
@ATTRIBUTE cent_box_std NUMERIC
@ATTRIBUTE cent_box_mean NUMERIC
@ATTRIBUTE left_right_top_mean_dif NUMERIC
@ATTRIBUTE global_min NUMERIC
@ATTRIBUTE global_max NUMERIC
@ATTRIBUTE global_std NUMERIC
@ATTRIBUTE global_mean NUMERIC
@ATTRIBUTE eye_dif_val NUMERIC
@ATTRIBUTE class {0,1}

@DATA
22.1554552544,67.3333333333,26.4569139832,86.2098765432,13.6716341469,62.7777777778,15.780125021,84.1111111111,16.8939990001,83.4736842105,18.1469837546,94.9473684211,21.8917679653,77.9012345679,18.8765432099,25,127,22.5944765495,76.5041551247,39.880952381,1
21.8005046442,67.8148148148,26.1391642198,88.4197530864,14.0925263486,62.2345679012,16.0169187336,84.4320987654,16.9192313008,84.0526315789,18.3455595932,94.4210526316,22.3921282465,76.8888888889,20.6049382716,24,126,22.8132645528,77.0609418283,39.6428571429,1
21.5290519115,67.8641975309,25.6242768977,90.037037037,13.253303488,62.3209876543,15.4363845901,84.8024691358,17.2003027739,84.7894736842,18.5488797998,94.2105263158,22.9258627681,76.0987654321,22.1728395062,22,123,22.6433702589,77.5650969529,38.9047619048,1
21.2399433334,67.975308642,24.9611189804,89.3209876543,21.5020406797,64.3950617284,12.8629415751,82.5679012346,16.040633998,84.5263157895,17.8718119409,91.4210526316,22.5091016156,75.7901234568,21.3456790123,25,205,22.7914525898,77.2493074792,39.2619047619,1
21.5030826542,68.012345679,25.5680055556,87.9259259259,13.1745460382,62.2469135802,14.4413840801,82.8024691358,16.2183849714,84.7368421053,18.1669695096,94.5263157895,23.1394913854,75.3456790123,19.9135802469,26,127,22.0553867018,76.6925207756,37.7619047619,1
30.8617480509,141.49382716,34.8458490521,137.703703704,26.624864355,161.259259259,25.6453067018,153.851851852,24.6702350742,160.894736842,30.593392729,153.789473684,25.9286771027,140.111111111,3.79012345679,59,242,31.0277417603,149.487534626,73.6428571429,1
34.563394768,141.37037037,36.9691229188,137.555555556,29.1938686921,155.802469136,26.7900153608,147.543209877,26.5135725448,161.631578947,31.1445561776,149.736842105,25.8592322645,143.061728395,3.81481481481,57,225,32.7263355272,146.612188366,70.5,1
28.6161388367,138.740740741,33.2439313209,135.567901235,25.2836733202,162.086419753,24.3678810942,154.691358025,22.9950012634,158.578947368,23.868870767,140.473684211,28.1425812126,143.913580247,3.17283950617,57,243,29.6209668545,147.825484765,77.3333333333,1
31.0415349776,92.5802469136,34.6812647327,93.8888888889,23.2927598119,104.87654321,19.7629604951,100.765432099,32.7202530316,145.263157895,27.0851739555,131.842105263,30.9664233008,112.716049383,1.30864197531,35,219,30.93666932,102.074792244,33.2142857143,1
28.7732941092,90.4567901235,27.9462054277,89.4814814815,22.8644108461,108.691358025,18.6753197006,103.469135802,28.7209325538,145.052631579,27.6059530294,134.263157895,30.3555067512,115.111111111,0.975308641975,35,193,29.1885913421,102.185595568,36.1666666667,1
32.3551960365,97.2592592593,31.9740454491,98.1358024691,24.5813227189,111.925925926,20.126584624,109.209876543,28.9123232839,153.842105263,27.853693738,144.526315789,32.4493109453,121.827160494,0.876543209877,36,205,31.4463647761,108.637119114,39.7857142857,1
31.8436586266,97.1358024691,30.1289410106,97.1111111111,24.7775532539,113.456790123,20.327864369,110.012345679,29.7619363145,154.263157895,28.0405325938,145.789473684,32.0194604369,122.839506173,0.0246913580247,39,205,31.2817141044,108.991689751,40.4285714286,1
30.3210429484,84.6419753086,33.4684094442,92.7037037037,22.0615176816,90.5925925926,26.8260383941,97.2345679012,38.5116451791,127.894736842,21.0092975065,108.368421053,20.5911122421,102.135802469,8.06172839506,43,211,30.3320451793,93.9833795014,34.1428571429,1
29.173171265,84.012345679,32.751967239,93.2222222222,22.6486856785,91.6666666667,27.9437074301,98.8395061728,37.4725753828,128.263157895,20.1895450303,109.473684211,20.5027869749,102.864197531,9.20987654321,43,218,30.2394626964,94.6371191136,35.0,1
25.3668526593,81.6790123457,32.4014597717,93.5185185185,24.5949785644,90.024691358,26.50391579,95.7530864198,34.9676542265,122.0,14.7526231294,105.210526316,20.9699634954,98.037037037,11.8395061728,43,219,28.8089971763,92.595567867,37.6428571429,1
28.4174790737,83.950617284,31.9077507392,89.7160493827,25.5899988561,91.0617283951,24.6010694895,92.4814814815,35.004154878,126.842105263,15.0644046709,103.894736842,20.6448031024,97.1975308642,5.76543209877,43,204,29.1496662237,91.9058171745,33.5,1
43.2128570401,129.790123457,44.3674161029,134.567901235,34.1728885677,124.061728395,30.3198515893,135.87654321,43.407940604,149.526315789,26.3636407055,138.894736842,38.0769602275,137.50617284,4.77777777778,28,211,38.5723430181,132.246537396,90.2380952381,1
46.6364524307,126.679012346,42.7715724215,128.666666667,35.8594650625,119.222222222,31.3889611177,131.358024691,43.5743068976,142.263157895,26.3977670507,136.0,37.3225946408,137.24691358,1.98765432099,24,219,39.5742931303,127.620498615,84.3333333333,1
42.562372532,132.111111111,44.4271296862,134.395061728,31.9261407572,121.592592593,31.3836388049,132.740740741,42.4301936083,152.315789474,29.8699860476,158.684210526,36.9234926201,141.62962963,2.28395061728,27,209,38.8488586057,132.656509695,92.0952380952,1
42.3928686419,132.172839506,44.4632401957,137.604938272,36.6168427335,119.49382716,29.9875348792,133.790123457,43.0681351573,152.631578947,26.3306273958,141.473684211,37.1716442809,142.851851852,5.43209876543,24,212,39.188745417,132.254847645,96.2857142857,1
48.1053370926,121.666666667,46.1872493524,127.481481481,35.9011666411,122.086419753,29.7676466602,134.617283951,46.0954087041,159.052631579,38.28888587,165.473684211,41.8167047144,135.827160494,5.81481481481,25,238,42.5318694868,130.03601108,76.0476190476,1
33.8298728299,86.6913580247,36.5607065221,87.8641975309,23.8512064427,82.3086419753,25.7622759784,80.6913580247,32.660683116,122.736842105,25.4868387088,110.0,24.4382396415,99.2098765432,1.17283950617,34,192,31.9483042982,87.567867036,42.2619047619,1
30.5825370335,85.3580246914,33.5722621226,87.8024691358,24.0250846909,85.8271604938,25.2956606274,85.1358024691,32.7751510495,121.0,24.0034623541,113.789473684,25.1317515958,99.2222222222,2.44444444444,32,194,30.1192744584,89.1523545706,42.9285714286,1
34.2049419255,91.4814814815,35.4324644021,89.1851851852,25.3411294047,88.3333333333,26.8936895577,83.8395061728,37.3995422669,130.894736842,31.2208645343,120.315789474,26.9464234987,102.962962963,2.2962962963,33,192,33.0390049386,91.8698060942,42.2619047619,1
32.058117663,124.925925926,38.881531736,112.679012346,26.0269460452,149.925925926,35.294100433,125.074074074,28.5064992346,153.894736842,29.6391969267,145.210526316,31.1077354626,129.987654321,12.2469135802,24,203,35.8574292881,130.199445983,49.7857142857,1
30.2289389777,123.037037037,34.2168951727,113.716049383,27.6811653219,151.333333333,29.243398316,132.691358025,31.7057104882,151.105263158,32.5137942173,146.105263158,31.426143569,129.049382716,9.32098765432,48,210,33.6513872736,131.927977839,50.5476190476,1
36.2910049053,138.666666667,35.2552518731,135.074074074,28.8784459335,159.382716049,30.2745300985,143.345679012,33.5066041367,163.789473684,34.0266312518,172.368421053,30.1572467843,142.518518519,3.59259259259,49,221,34.7976295741,146.468144044,68.619047619,1
34.5794160716,136.641975309,32.2114546126,132.950617284,31.4813071891,158.62962963,30.9119729003,147.259259259,31.4617122099,163.947368421,34.3861081272,173.263157895,29.6893123188,140.432098765,3.69135802469,51,219,34.5237358532,146.299168975,74.6666666667,1
32.0479084293,126.234567901,30.6037156315,108.827160494,27.6092666498,153.666666667,26.7526391914,132.222222222,27.7314985365,153.736842105,26.1921305134,155.842105263,31.8101411266,130.061728395,17.4074074074,53,207,33.5631055751,132.650969529,48.7857142857,1
29.140614794,123.901234568,26.7168480746,108.987654321,30.9804034604,153.358024691,27.959526129,134.234567901,27.4211031417,152.631578947,26.5552265176,155.368421053,31.0413729452,128.839506173,14.9135802469,63,206,33.1025297001,132.459833795,54.1904761905,1
37.9947332684,138.172839506,36.6638274662,136.382716049,30.1161446296,156.407407407,31.0988511999,141.814814815,34.7465696109,160.789473684,31.9160949853,168.684210526,32.5768948355,143.827160494,1.79012345679,58,221,35.4851133425,145.337950139,68.7857142857,1
22.8183619176,90.6296296296,29.2859595838,130.24691358,16.6563754235,93.4814814815,21.1854729613,133.87654321,19.8283492733,126.315789474,27.3044799628,135.789473684,30.3750121917,105.975308642,39.6172839506,38,180,30.4741375782,113.991689751,34.119047619,1
24.5189723082,94.8271604938,28.9488456643,135.037037037,18.8224037707,94.1604938272,21.3746385108,136.37037037,19.641242154,136.894736842,27.850809504,137.736842105,30.1262293806,107.87654321,40.2098765432,29,181,31.4791005467,117.340720222,36.9523809524,1
35.0833614361,148.518518519,34.5812408124,139.802469136,26.3720926982,162.283950617,30.3304063065,148.641975309,32.5500679755,168.578947368,28.5851985021,161.789473684,31.8946644995,140.197530864,8.71604938272,59,235,32.973283915,151.434903047,66.3333333333,1
32.9306958175,146.62962963,31.8875959838,137.654320988,24.6770637636,161.407407407,28.2093443503,147.617283951,28.1844930941,166.052631579,34.7662554897,165.789473684,31.7765259185,141.740740741,8.97530864198,57,215,31.3956619106,150.146814404,68.6904761905,1
32.3299085106,144.24691358,32.3410231311,136.691358025,26.2716107398,162.555555556,31.0491888171,148.481481481,28.9961311776,163.473684211,36.5273016703,166.578947368,31.200142059,140.395061728,7.55555555556,47,213,32.5821806988,149.753462604,73.380952381,1
22.3314053041,95.2716049383,28.8602158012,138.432098765,17.4441255333,102.543209877,16.7865646192,146.037037037,20.3108802359,127.315789474,29.6240525171,139.315789474,29.7042629998,113.049382716,43.1604938272,34,184,30.8338566071,121.886426593,37.6904761905,1
22.9365705226,94.987654321,29.1064824224,138.530864198,17.0279721814,103.456790123,18.348329071,146.592592593,21.541430802,127.578947368,28.3926758922,142.526315789,30.6370754431,111.75308642,43.5432098765,53,187,31.2551080071,122.351800554,33.5238095238,1
22.9262417125,93.3580246914,28.2226164603,132.049382716,16.5529453572,103.444444444,17.9195734076,146.666666667,22.2811299862,136.842105263,28.0773565376,144.368421053,30.4805939197,112.913580247,38.6913580247,39,187,30.8716325451,121.077562327,34.9285714286,1
35.0180217935,141.901234568,36.4286367069,142.061728395,29.4624346521,166.802469136,33.5960429442,163.518518519,33.2464148401,169.210526316,32.0580325585,165.421052632,32.8618136431,139.049382716,0.16049382716,43,229,35.6565990041,154.944598338,63.7142857143,1
29.042584714,131.901234568,32.3513801403,121.259259259,16.2031851769,121.111111111,24.0994231847,105.395061728,20.9623062316,131.947368421,27.1717630849,136.894736842,27.8802444809,130.024691358,10.6419753086,25,193,27.8570349324,121.44598338,61.6904761905,1
29.7618551701,130.901234568,31.1332274907,123.864197531,16.1311591834,122.604938272,19.8561355246,109.592592593,20.5512668864,129.473684211,26.5038543165,139.421052632,27.9098096732,130.592592593,7.03703703704,58,198,26.3276375136,123.088642659,64.6428571429,1
30.028980566,130.839506173,32.4986346776,126.24691358,17.4569123575,124.49382716,24.9133355345,111.641975309,20.1532906656,131.052631579,27.2307264937,140.473684211,29.9209291758,129.518518519,4.59259259259,43,191,27.7457643879,124.612188366,59.4761904762,1
32.3793152787,138.728395062,30.0122872769,128.419753086,16.9080282859,129.913580247,19.8544774383,114.185185185,20.2091556553,138.894736842,26.8551052111,146.526315789,28.2014494261,135.75308642,10.3086419753,63,199,27.2254965231,129.360110803,73.2142857143,1
32.9623156176,139.320987654,30.0642557307,132.358024691,16.0723672075,129.666666667,22.2779616452,115.160493827,20.2667802641,133.315789474,25.8873545318,147.052631579,29.202654002,137.913580247,6.96296296296,68,199,27.54596321,130.28531856,74.3095238095,1
39.9384910407,146.419753086,38.7443679502,143.901234568,22.9760085073,152.679012346,22.0002494062,143.703703704,24.3258124706,171.789473684,28.0676862931,164.315789474,26.8906630257,151.419753086,2.51851851852,55,224,32.2646839373,148.756232687,86.4761904762,1
41.3133497424,147.185185185,40.008641042,145.555555556,23.4109819118,153.333333333,22.4103762955,144.518518519,25.5586881001,172.736842105,26.2387292781,163.052631579,28.1981416552,151.024691358,1.62962962963,56,223,33.0979730105,149.662049861,79.7619047619,1
39.8448981955,150.703703704,37.2428397335,146.604938272,25.1916658329,150.185185185,22.981354642,142.407407407,25.3332361372,173.263157895,26.4504973274,166.947368421,28.6703403607,151.24691358,4.0987654321,60,223,32.4569179613,149.736842105,84.2142857143,1
39.5662159461,153.345679012,37.2780839142,143.543209877,27.1806490872,146.950617284,24.9061337964,134.925925926,23.1036445902,173.105263158,28.9733854375,163.263157895,28.8745031186,149.938271605,9.8024691358,59,226,33.5953047447,147.030470914,75.619047619,1
30.0459537287,118.135802469,29.8755075833,113.481481481,21.31721642,128.654320988,22.9894112919,122.259259259,26.5489669371,139.315789474,23.8624869313,138.052631579,23.1222538296,119.580246914,4.65432098765,41,199,27.3602323816,122.490304709,45.5,1
29.5874133408,117.641975309,29.6819805011,112.358024691,21.976799783,124.395061728,19.5955990443,121.012345679,24.3005192425,139.894736842,22.9374676855,137.368421053,23.5493301295,120.50617284,5.28395061728,42,203,26.4864123159,120.886426593,45.6666666667,1
29.702272063,117.814814815,29.0234494118,113.098765432,22.1724614337,122.75308642,19.8094104395,119.209876543,26.2040786828,138.631578947,23.2379000772,139.0,23.9366129351,120.567901235,4.71604938272,44,199,26.4287303792,120.304709141,47.7857142857,1
26.1336125793,111.518518519,27.5675390996,106.864197531,19.8820328283,120.160493827,19.9584693019,113.827160494,24.5747207005,127.631578947,20.769010582,134.263157895,21.6990893843,114.962962963,4.65432098765,47,191,24.6019072926,114.878116343,43.9523809524,1
25.161699289,111.666666667,27.1964072329,107.098765432,20.5130357697,114.740740741,17.5905088651,110.864197531,24.5962409578,126.842105263,20.5179470119,133.526315789,21.6391475197,116.283950617,4.56790123457,47,181,23.6990907557,112.96398892,45.8571428571,1
25.2261890852,111.098765432,27.2910331012,105.802469136,20.9754576034,117.740740741,18.8077252448,113.469135802,24.6576560119,129.0,20.7525988761,130.526315789,22.0392121208,114.567901235,5.2962962963,53,188,24.2511490684,113.83933518,41.4523809524,1
35.6573303337,135.75308642,36.4499184554,127.654320988,23.2866081251,167.407407407,27.3005479935,138.160493827,23.0717296521,156.105263158,23.6017277174,162.105263158,28.882525415,145.851851852,8.0987654321,44,209,34.0638465069,144.024930748,53.119047619,1
35.2768828937,134.617283951,35.457740109,126.604938272,22.0302683522,166.024691358,28.6239034089,133.925925926,22.1241773718,154.315789474,23.9367819284,168.368421053,28.1101324401,147.765432099,8.01234567901,38,215,34.1054121013,142.459833795,62.1666666667,1
34.6618828256,129.382716049,35.6023226381,132.740740741,22.466768292,150.901234568,24.0101589026,148.864197531,22.8642870711,170.473684211,27.4979727281,166.421052632,24.6219208828,140.604938272,3.35802469136,62,213,31.8739566147,143.313019391,58.4285714286,1
35.6127241021,132.925925926,36.247434988,135.111111111,23.0319420616,147.543209877,28.336122405,144.049382716,22.4895174104,170.894736842,26.4108808266,165.210526316,25.5295687041,140.283950617,2.18518518519,59,213,32.356950734,142.764542936,54.4047619048,1
35.8257395639,133.530864198,36.4114993786,135.172839506,23.5964458611,148.469135802,27.5743663393,145.333333333,22.5632996939,171.052631579,23.6536645126,162.631578947,25.8308839938,140.444444444,1.64197530864,63,207,32.2254045722,143.301939058,50.8571428571,1
35.8191149044,130.580246914,35.6536241853,133.679012346,22.0859056313,151.87654321,25.3688834384,150.444444444,23.5413233659,171.736842105,24.9830967787,162.947368421,25.4461665515,140.456790123,3.0987654321,57,209,32.1529816338,144.268698061,53.5714285714,1
29.8207007967,143.901234568,35.2313450731,149.24691358,23.970247778,154.913580247,24.0676914616,157.259259259,29.2625899225,167.736842105,24.4550579941,171.052631579,22.6955422733,147.456790123,5.34567901235,68,236,29.4388243331,153.152354571,70.619047619,1
28.0895589075,143.703703704,31.1469712984,146.197530864,22.5038329307,152.851851852,21.3964116605,155.654320988,25.6042759587,165.0,28.4852102365,170.526315789,22.082510057,151.358024691,2.49382716049,68,215,27.2046464096,151.454293629,78.1666666667,1
27.0493122819,143.703703704,32.3310258016,148.839506173,24.4205894326,154.172839506,21.9395672724,159.839506173,29.6812241872,166.842105263,24.7829357788,172.263157895,20.3227051762,147.0,5.13580246914,68,240,27.929507635,153.434903047,70.5952380952,1
29.8972635016,143.259259259,33.2224080262,149.777777778,26.3402576948,149.765432099,22.0961857933,156.740740741,29.2248897829,167.894736842,23.6954359363,170.0,22.8327851305,149.185185185,6.51851851852,55,234,28.9912495937,151.808864266,68.9285714286,1
25.5375197285,123.395061728,31.4652245607,121.62962963,19.3605204362,128.098765432,22.1756576614,124.234567901,24.7701902873,128.263157895,19.0188709319,132.421052632,19.854439055,115.543209877,1.76543209877,56,192,24.9498181911,124.927977839,57.2380952381,1
21.7157159977,126.395061728,28.9782568316,120.703703704,18.1707342447,126.851851852,20.9508537202,122.333333333,20.8197647412,125.105263158,22.4131441451,137.578947368,19.3732932982,114.691358025,5.69135802469,57,183,22.9424898276,124.717451524,59.380952381,1
24.6289891312,123.925925926,30.6785080814,121.197530864,17.0161707968,127.074074074,20.3264172276,120.814814815,25.4761851752,128.263157895,19.5472295435,135.894736842,20.3992911048,116.641975309,2.72839506173,60,190,23.8610514183,124.069252078,59.2619047619,1
21.9561853261,126.111111111,28.826941073,121.913580247,19.5846444706,127.148148148,22.3470635953,124.061728395,22.5116774868,125.473684211,22.2091543602,135.736842105,19.5174135451,114.308641975,4.1975308642,56,183,23.454564354,125.301939058,59.0952380952,1
21.0032331432,129.222222222,24.5647494721,126.827160494,19.3753701579,131.950617284,21.9027655456,121.518518519,18.7932327067,131.157894737,24.672368386,142.894736842,19.1698065061,119.444444444,2.3950617284,71,188,22.3462856266,128.299168975,60.1666666667,1
24.0389360534,125.864197531,28.086080584,122.24691358,16.820370359,131.839506173,20.6172987359,123.160493827,22.2517701372,133.736842105,22.2731718178,142.894736842,19.2548982084,120.197530864,3.61728395062,67,192,23.3257077633,127.0,58.119047619,1
41.8838546203,169.802469136,49.8428378963,170.012345679,28.6929250969,172.444444444,30.288326399,177.444444444,34.8742100458,186.0,29.2863406846,187.684210526,23.3785244004,180.987654321,0.20987654321,40,231,38.4472873662,173.894736842,110.904761905,1
